"ParmSetID","Genotype","PlntN_Em","PlntN_Mt","relTT_Sn","RootSenFac","RUEmax","RWPC1","TbaseDev","TTtoMatr","ActO2CO2","Slow2CO2"
82,"Adapted","0.013","0.00811","0.727","0.00186","3.11","0.749","7.85","1456","0.775","0.543"
83,"Baseline","0.0175","0.00669","0.798","0.00143","2.62","0.659","8.23","1300","0.727","0.585"
83,"Adapted","0.0175","0.00669","0.798","0.00143","2.62","0.659","8.23","1690","0.727","0.585"
84,"Baseline","0.0127","0.0083","0.634","0.00175","3.38","0.58","10.4","1250","0.619","0.714"
84,"Adapted","0.0127","0.0083","0.634","0.00175","3.38","0.58","10.4","1625","0.619","0.714"
85,"Baseline","0.0157","0.00797","0.773","0.00156","2.75","0.691","8.81","1220","0.706","0.591"
85,"Adapted","0.0157","0.00797","0.773","0.00156","2.75","0.691","8.81","1586","0.706","0.591"
86,"Baseline","0.0173","0.00876","0.802","0.00168","3.06","0.563","10.4","1260","0.616","0.722"
86,"Adapted","0.0173","0.00876","0.802","0.00168","3.06","0.563","10.4","1638","0.616","0.722"
87,"Baseline","0.0145","0.00672","0.797","0.00154","3.04","0.806","9.58","999","0.644","0.79"
87,"Adapted","0.0145","0.00672","0.797","0.00154","3.04","0.806","9.58","1298.7","0.644","0.79"
88,"Baseline","0.0156","0.00881","0.837","0.00145","2.77","0.749","11","1250","0.677","0.574"
88,"Adapted","0.0156","0.00881","0.837","0.00145","2.77","0.749","11","1625","0.677","0.574"
89,"Baseline","0.0145","0.00926","0.776","0.00206","3.69","0.622","10.4","1360","0.699","0.561"
89,"Adapted","0.0145","0.00926","0.776","0.00206","3.69","0.622","10.4","1768","0.699","0.561"
90,"Baseline","0.0163","0.00675","0.798","0.00148","3.03","0.672","9.07","1240","0.619","0.659"
90,"Adapted","0.0163","0.00675","0.798","0.00148","3.03","0.672","9.07","1612","0.619","0.659"
91,"Baseline","0.0123","0.00652","0.576","0.00209","3.28","0.566","8.53","1240","0.752","0.707"
91,"Adapted","0.0123","0.00652","0.576","0.00209","3.28","0.566","8.53","1612","0.752","0.707"
92,"Baseline","0.0163","0.00933","0.584","0.00205","3.81","0.818","11.5","1070","0.704","0.636"
92,"Adapted","0.0163","0.00933","0.584","0.00205","3.81","0.818","11.5","1391","0.704","0.636"
93,"Baseline","0.0138","0.00923","0.789","0.00171","3.25","0.617","11.1","1210","0.619","0.62"
93,"Adapted","0.0138","0.00923","0.789","0.00171","3.25","0.617","11.1","1573","0.619","0.62"
94,"Baseline","0.0162","0.00843","0.569","0.00211","3.29","0.59","9.86","1190","0.782","0.78"
94,"Adapted","0.0162","0.00843","0.569","0.00211","3.29","0.59","9.86","1547","0.782","0.78"
95,"Baseline","0.0128","0.00632","0.843","0.00163","3.19","0.741","10.7","1240","0.54","0.572"
95,"Adapted","0.0128","0.00632","0.843","0.00163","3.19","0.741","10.7","1612","0.54","0.572"
96,"Baseline","0.0165","0.00825","0.837","0.00169","3.52","0.719","10.8","1120","0.629","0.571"
96,"Adapted","0.0165","0.00825","0.837","0.00169","3.52","0.719","10.8","1456","0.629","0.571"
97,"Baseline","0.0168","0.00721","0.588","0.00141","2.8","0.612","10.8","1030","0.667","0.748"
97,"Adapted","0.0168","0.00721","0.588","0.00141","2.8","0.612","10.8","1339","0.667","0.748"
98,"Baseline","0.0156","0.00745","0.806","0.00208","3.23","0.632","9.51","1290","0.54","0.768"
98,"Adapted","0.0156","0.00745","0.806","0.00208","3.23","0.632","9.51","1677","0.54","0.768"
99,"Baseline","0.017","0.00717","0.836","0.00181","3.53","0.705","9.06","1340","0.68","0.709"
99,"Adapted","0.017","0.00717","0.836","0.00181","3.53","0.705","9.06","1742","0.68","0.709"
100,"Baseline","0.0136","0.00767","0.782","0.00148","3.65","0.755","10.7","1180","0.779","0.66"
100,"Adapted","0.0136","0.00767","0.782","0.00148","3.65","0.755","10.7","1534","0.779","0.66"
